year,team,avg_age,all_play_wins,all_play_losses,median_wins,titles
2022,BoltsAnHoes,,70,106,6,0
2022,Boston310,25.30,90,86,8,0
2022,Choose Life,26.00,100,76,9,0
2022,Could Georgia Beat Us?,26.20,88,88,8,0
2022,Cyanide Sisters,22.50,78,98,7,0
2022,Green 19 Amazonian Manbun,22.00,65,111,5,0
2022,Greg's Elbow,26.50,88,88,7,0
2022,Jennay Given Sunday,24.50,118,58,13,0
2022,LA Beach Bums,22.50,50,126,4,0
2022,Shuttlecock Hat-trick,23.50,95,81,9,0
2022,Snesk0008,24.00,98,78,9,0
2022,Table Smashers,23.00,116,60,11,1
2023,BoltsAnHoes,,55,121,4,0
2023,Boston310,26.20,85,91,7,0
2023,Choose Life,27.10,108,68,10,0
2023,Could Georgia Beat Us?,26.50,82,94,7,0
2023,Cyanide Sisters,23.20,112,64,11,1
2023,Green 19 Amazonian Manbun,22.80,72,104,6,0
2023,Greg's Elbow,27.00,72,104,6,0
2023,Jennay Given Sunday,25.40,125,51,14,0
2023,LA Beach Bums,23.00,40,136,3,0
2023,Shuttlecock Hat-trick,24.10,108,68,10,0
2023,Snesk0008,25.00,110,66,10,0
2023,Table Smashers,23.80,87,89,8,1
2024,BoltsAnHoes,,35,141,2,0
2024,Boston310,27.10,78,98,7,0
2024,Choose Life,27.70,118,58,11,0
2024,Could Georgia Beat Us?,27.30,88,88,7,0
2024,Cyanide Sisters,23.70,100,76,10,1
2024,Green 19 Amazonian Manbun,23.20,80,96,6,0
2024,Greg's Elbow,27.80,55,121,4,0
2024,Jennay Given Sunday,26.00,128,48,14,0
2024,LA Beach Bums,23.50,30,146,2,0
2024,Shuttlecock Hat-trick,24.80,120,56,11,0
2024,Snesk0008,25.90,112,64,11,0
2024,Table Smashers,24.20,112,64,11,2
2025,BoltsAnHoes,,45,131,3,0
2025,Boston310,27.55,82,94,7,0
2025,Choose Life,28.22,115,61,11,1
2025,Could Georgia Beat Us?,28.00,85,91,7,0
2025,Cyanide Sisters,24.00,97,79,9,1
2025,Green 19 Amazonian Manbun,23.55,76,100,5,0
2025,Greg's Elbow,28.22,60,116,4,0
2025,Jennay Given Sunday,26.66,130,46,14,0
2025,LA Beach Bums,23.77,36,140,2,0
2025,Shuttlecock Hat-trick,25.33,114,62,12,0
2025,Snesk0008,26.33,111,65,11,0
2025,Table Smashers,24.66,105,71,11,2
